case_number,type_of_intake
CAS-02692-N9D8V7,Courts
CAS-02120-J8B5W3,External Agency
CAS-02246-C7P2S1,External Agency
CAS-02335-B4N5M2,Courts
CAS-02074-K6G5V4,Courts
CAS-02204-L3P4J8,Courts
CAS-02286-K5Z2X1,Courts
CAS-02579-Z0N1X2,External Agency
CAS-03008-K1R9N0,External Agency
CAS-02865-B2P1F2,External Agency
CAS-02836-J8M7S1,Direct Intake
CAS-02622-W8G3P7,Direct Intake
CAS-02006-R8B1S5,Direct Intake
CAS-02932-Z6D1W8,Direct Intake
CAS-02445-B4Q0F9,External Agency
CAS-02210-H5X7F1,External Agency
CAS-02959-Y7P9F5,Direct Intake
CAS-02893-C4J2R6,Direct Intake
CAS-02608-N3K0B9,External Agency
CAS-03007-G1J1M9,External Agency
CAS-02202-M9L7R1,External Agency
CAS-02141-M8K7R4,Direct Intake
CAS-02940-F9N1X6,Direct Intake
CAS-02353-M2C3V7,Direct Intake
CAS-02802-R6J9M4,Courts
CAS-02516-Y8D5J0,Courts
CAS-02778-R6Y6B0,Courts
CAS-02494-D5C5C4,Courts
CAS-02811-M1J2Q1,Courts
CAS-02402-S7C3W4,Courts
CAS-03024-T7P6P9,External Agency
CAS-02763-D0W9Q1,External Agency
CAS-02759-J8P9Q9,External Agency
CAS-01983-G7N0H6,Direct Intake
CAS-02087-F8M7G5,Courts
CAS-02339-D2C4N6,Courts
CAS-02220-C6N8G2,Courts
CAS-02166-F4Z1D7,Courts
CAS-02090-K5K6Z0,Courts
CAS-02145-X6K6K4,Courts
CAS-03011-R8T8V7,External Agency
CAS-02553-F1Z2N6,Direct Intake
CAS-02857-J7J5T7,Direct Intake
CAS-02372-T0G3F3,External Agency
CAS-02213-Y6H0B5,External Agency
CAS-02177-S3P2B4,External Agency
CAS-02161-B0Z6H5,Courts
CAS-02592-X5Q9W1,Courts
CAS-02858-M4R5J4,External Agency
CAS-02774-H8H3P4,External Agency
CAS-02382-S4S0H8,Direct Intake
CAS-02310-G6S8Q5,External Agency
CAS-02302-M8Y8Z3,Direct Intake
CAS-02217-C1G6T5,External Agency
CAS-02754-W9B1G5,External Agency
CAS-02755-Q1F0F3,Direct Intake
CAS-02051-H7S8B1,External Agency
CAS-02358-X0G6T8,Courts
CAS-02152-F9J6T7,Courts
CAS-02309-F8Q5J3,Courts
CAS-02227-P5H0D9,Courts
CAS-02255-Y9J4Z0,Courts
CAS-02185-V3Q2Y0,Courts
CAS-02900-C5Y0F1,External Agency
CAS-01993-Z8L6N4,External Agency
CAS-02311-X1F7V4,External Agency
CAS-02240-J0B3J4,Courts
CAS-02687-X3W0N6,Courts
CAS-02495-Y6Q8Q5,Courts
CAS-02681-M8B7M9,Courts
CAS-02653-L4X0G6,Courts
CAS-02565-K3Q9G9,Direct Intake
CAS-02285-W0V4V2,Direct Intake
CAS-02033-Y8J9C1,Courts
CAS-02306-C6L6L4,Courts
CAS-02634-J4Q3V1,Courts
CAS-02633-Z6H0C8,Courts
CAS-02146-L5N8C0,Courts
CAS-02745-W9Y9T5,External Agency
CAS-02060-M1D3W4,Direct Intake
CAS-03019-Z7Z1G0,External Agency
CAS-02324-C9G7V1,External Agency
CAS-02773-Y0T8R8,External Agency
CAS-02809-H6R4T3,External Agency
CAS-02693-Y2Q5D1,Courts
CAS-02715-S8N9S0,Courts
CAS-02724-R6Z9X0,Courts
CAS-03029-C8W2Y1,External Agency
CAS-02782-Q3H1L5,Direct Intake
CAS-02460-P8C0Y9,Direct Intake
CAS-02846-H4K0Z7,External Agency
CAS-02640-P0Y9R4,External Agency
CAS-02815-N2T8K7,External Agency
CAS-02181-M2H0N4,Direct Intake
CAS-03002-J0Z2T7,External Agency
CAS-02926-P9C4P4,Direct Intake
CAS-02432-M8N9D5,External Agency
CAS-02969-D3X9J4,External Agency
CAS-02968-Y8Q6D1,External Agency
CAS-02030-X2G2M6,Direct Intake
CAS-02330-S4R5G0,External Agency
CAS-02269-Q6V1Z1,Direct Intake
CAS-01985-M7S1W0,Courts
CAS-02911-Q9X9R0,Courts
CAS-02413-X2Q7F8,Courts
CAS-02541-S9R7R5,Courts
CAS-02040-Y2D4X5,Courts
CAS-02629-N0Y9C3,Courts
CAS-02877-F6H5Y2,Direct Intake
CAS-02526-Q8L1B8,External Agency
CAS-02573-R6D9V7,External Agency
CAS-02148-Q8N3Q0,External Agency
CAS-02426-D1F8N8,Courts
CAS-02517-P7F9P2,Courts
CAS-02450-J8D0R0,Courts
CAS-02260-X7N7Z0,Courts
CAS-02625-V8Q0R8,Courts
CAS-02817-D0F2Q6,External Agency
CAS-02178-W7Z4P0,External Agency
CAS-02425-S7Q0F5,Direct Intake
CAS-02635-V3F8N6,Courts
CAS-02917-H6G0L3,Courts
CAS-02406-F4Q4D2,Courts
CAS-02424-Q2W2Y6,Courts
CAS-02421-F6W3D6,Courts
CAS-02128-H4P5T8,Courts
CAS-02055-M3K7X6,Courts
CAS-02915-J3M8Y8,Direct Intake
CAS-02902-N6W5R5,Direct Intake
CAS-02111-Y8Q8L9,External Agency
CAS-02199-W7H1F2,Courts
CAS-02373-S0C0L5,Courts
CAS-02193-W3D9P9,Courts
CAS-02191-P6L8W5,Courts
CAS-02721-G5J7D0,Courts
CAS-02576-X9X9W4,Direct Intake
CAS-02257-L9K8K6,Direct Intake
CAS-02637-W8R0Q2,External Agency
CAS-02072-K8Q9Z5,External Agency
CAS-02854-L7T2B0,Direct Intake
CAS-02845-C6P8V9,External Agency
CAS-02514-P1Z3N1,Direct Intake
CAS-02728-H8G6G1,Courts
CAS-02483-X0T4N2,Courts
CAS-01987-V7L4S1,Courts
CAS-03013-K4M3B0,Courts
CAS-02921-F8Q8C4,External Agency
CAS-02194-G6H6X5,Direct Intake
CAS-02350-P8J9P9,External Agency
CAS-02440-W4V6J3,External Agency
CAS-02950-M8Q2B5,External Agency
CAS-02364-G9X2L8,Direct Intake
CAS-02829-T1P9Q5,External Agency
CAS-02789-V1D1Q0,External Agency
CAS-02823-P3V5Q0,External Agency
CAS-02167-W4F1J6,Direct Intake
CAS-01976-Y9D2R3,External Agency
CAS-02587-S9P4Y7,Direct Intake
CAS-02543-L8Q2R5,External Agency
CAS-03017-D7M9V9,External Agency
CAS-02753-M7K5M4,Direct Intake
CAS-02347-Y4N8C0,External Agency
CAS-02433-W5K8J9,Direct Intake
CAS-03025-G3P6S6,External Agency
CAS-02015-T5N8D1,External Agency
CAS-02170-N2H0F9,External Agency
CAS-02500-J5V1Q8,Courts
CAS-02810-F7L2L9,Courts
CAS-02695-X1K4X6,Courts
CAS-02703-R3L4H1,Courts
CAS-02230-H6V6N6,Courts
CAS-02539-K8Y5L7,Courts
CAS-02731-V2K3N6,Direct Intake
CAS-02663-J8X6V2,Direct Intake
CAS-02954-Y9S8X7,Courts
CAS-02645-H2D9B4,Courts
CAS-02459-Y4B4M1,Courts
CAS-02313-K9Q9B0,Courts
CAS-02834-N3V1N0,Courts
CAS-02675-W5Y8Q1,Courts
CAS-02001-P9V5X3,Direct Intake
CAS-02804-P3S0S9,Direct Intake
CAS-01994-Q0H0S1,Direct Intake
CAS-01990-R1T5Y2,External Agency
CAS-02951-Z4S0W1,Direct Intake
CAS-02984-M2F9Q1,External Agency
CAS-02189-T8R0P3,Courts
CAS-02482-W5T0D7,Courts
