case_number,type_of_intake
CAS-07153-W8P7H0,Applications through Contact Centre
CAS-07154-G8T6F8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07155-W8H4K8,External Agency Referrals - Housing Development Board (HDB)
CAS-07156-Q8W0Q0,Applications through Contact Centre
CAS-07157-R8T9H8,Applications through Contact Centre
CAS-07158-W5D3J2,Applications through Contact Centre
CAS-07159-T0T0G5,Court-Ordered- Magistrate's Complaint
CAS-07160-Z4M0D6,Court-Ordered- Magistrate's Complaint
CAS-07161-F4G5B2,Court-Ordered- Magistrate's Complaint
CAS-07162-F8K8F7,Court-Ordered- Magistrate's Complaint
CAS-07163-H1L1P1,Court-Ordered- Magistrate's Complaint
CAS-07164-Y1W1W9,Court-Ordered- Magistrate's Complaint
CAS-07165-F9W9D2,Court-Ordered- Magistrate's Complaint
CAS-07166-F1P6C6,Applications through Contact Centre
CAS-07167-F0L3P0,Applications through Contact Centre
CAS-07168-F4X7W6,Court-Ordered- Magistrate's Complaint
CAS-07169-C9V5J2,Court-Ordered- Magistrate's Complaint
CAS-07170-V0Z2B7,External Agency Referrals - Housing Development Board (HDB)
CAS-07171-F9G6L3,Court-Ordered- Magistrate's Complaint
CAS-07172-R8D0S7,External Agency Referrals - Housing Development Board (HDB)
CAS-07173-Q8X0M3,Applications through Contact Centre
CAS-07174-J3T8D3,Court-Ordered- Magistrate's Complaint
CAS-07175-J1B8M4,External Agency Referrals - Member of Parliament
CAS-07176-X8B1H3,Applications through Contact Centre
CAS-07177-K9S0X8,External Agency Referrals - Housing Development Board (HDB)
CAS-07178-V9V6R1,External Agency Referrals - Housing Development Board (HDB)
CAS-07179-C3L5Q4,Court-Ordered- Magistrate's Complaint
CAS-07180-H0H7G9,Court-Ordered- Magistrate's Complaint
CAS-07181-H7H4K0,Court-Ordered- Magistrate's Complaint
CAS-07182-W4H6Z8,Applications through Contact Centre
CAS-07183-F6P1Y3,Applications through Contact Centre
CAS-07184-J5R5K1,External Agency Referrals - Member of Parliament
CAS-07185-Y9X1F4,External Agency Referrals - Town Council
CAS-07186-V2T3W0,Applications through Contact Centre
CAS-07187-X8G8X7,Applications through Contact Centre
CAS-07188-Q7R2V0,External Agency Referrals - Housing Development Board (HDB)
CAS-07189-N8R7C1,External Agency Referrals - Member of Parliament
CAS-07190-P2S8T5,External Agency Referrals - Member of Parliament
CAS-07191-Y3T0B9,Applications through Contact Centre
CAS-07192-R3Z0G4,Applications through Contact Centre
CAS-07193-Z1C8N1,External Agency Referrals - Member of Parliament
CAS-07194-M7L3X2,Applications through Contact Centre
CAS-07195-P1T7X1,External Agency Referrals - Housing Development Board (HDB)
CAS-07196-M6Q4Y7,External Agency Referrals - Member of Parliament
CAS-07197-H8H2T7,Applications through Contact Centre
CAS-07198-S2L8N0,Court-Ordered- Magistrate's Complaint
CAS-07199-B0Q4L9,External Agency Referrals - Member of Parliament
CAS-07200-F8M8G4,External Agency Referrals - Others
CAS-07201-B3L8G3,Applications through Contact Centre
CAS-07202-M6T5K4,Applications through Contact Centre
CAS-07203-H8M8N3,Applications through Contact Centre
CAS-07204-T4Y3Z2,External Agency Referrals - Housing Development Board (HDB)
CAS-07205-G5Q1R3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07206-T2L7Q2,Court-Ordered- Magistrate's Complaint
CAS-07207-F6H9D8,External Agency Referrals - Member of Parliament
CAS-07208-V6Y1K3,Court-Ordered- Magistrate's Complaint
CAS-07209-W1W1C7,Applications through Contact Centre
CAS-07210-V2X1T2,External Agency Referrals - Housing Development Board (HDB)
CAS-07211-N9K1J6,External Agency Referrals - Member of Parliament
CAS-07212-Q0B6K5,Court-Ordered- Magistrate's Complaint
CAS-07213-D7S9D8,Court-Ordered- Magistrate's Complaint
CAS-07214-X5T6K3,Applications through Contact Centre
CAS-07215-X9H4G0,Court-Ordered- Magistrate's Complaint
CAS-07216-Q7D9L3,External Agency Referrals - Others
CAS-07217-Y3L4N8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07218-T3J8N5,Applications through Contact Centre
CAS-07219-Y4P1C7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07220-X8X5X8,External Agency Referrals - Housing Development Board (HDB)
CAS-07221-K7G4Y5,Applications through Contact Centre
CAS-07222-N1Q0W8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07223-S0W7H8,External Agency Referrals - Town Council
CAS-07224-J7R6R9,External Agency Referrals - Singapore Police Force (SPF)
CAS-07225-Z5Z9R6,External Agency Referrals - Town Council
CAS-07226-N1T4Z3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07227-F5N5J0,External Agency Referrals - Member of Parliament
CAS-07228-H5M0D5,Applications through Contact Centre
CAS-07229-G5V2Q2,Applications through Contact Centre
CAS-07230-N5T0L7,Applications through Contact Centre
CAS-07231-G1G9X4,Applications through Contact Centre
CAS-07232-T5S6N0,Court-Ordered- Magistrate's Complaint
CAS-07233-G6B0Z4,External Agency Referrals - Member of Parliament
CAS-07234-Z3H8H2,External Agency Referrals - Member of Parliament
CAS-07235-R4C4H0,External Agency Referrals - Member of Parliament
CAS-07236-F2K7F8,External Agency Referrals - Member of Parliament
CAS-07237-M4H5K1,Applications through Contact Centre
CAS-07238-G3T0T3,External Agency Referrals - Member of Parliament
CAS-07239-V2D9T1,Applications through Contact Centre
CAS-07240-C7B4X8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07241-F1D3B3,External Agency Referrals - Town Council
CAS-07242-M2S7Q3,External Agency Referrals - Member of Parliament
CAS-07243-X7G4S5,Applications through Contact Centre
CAS-07244-C5C6M2,Court-Ordered- Magistrate's Complaint
CAS-07245-L4D5F6,Court-Ordered- Magistrate's Complaint
CAS-07246-H9D8G9,Court-Ordered- Magistrate's Complaint
CAS-07247-H3C9B9,External Agency Referrals - Member of Parliament
CAS-07248-W6P4M0,Applications through Contact Centre
CAS-07249-G6R9F3,Court-Ordered- Magistrate's Complaint
CAS-07250-F1H8B1,Applications through Contact Centre
CAS-07251-S2F6G6,Applications through Contact Centre
CAS-07252-R4L6P4,External Agency Referrals - Housing Development Board (HDB)
CAS-07253-Z7N6P3,Court-Ordered- Magistrate's Complaint
CAS-07254-G3K3S8,External Agency Referrals - Town Council
CAS-07255-W7X8G5,External Agency Referrals - Town Council
CAS-07256-J6V1T8,Applications through Contact Centre
CAS-07257-P3Y2T0,Court-Ordered- Magistrate's Complaint
CAS-07258-H5T7T4,External Agency Referrals - Housing Development Board (HDB)
CAS-07259-K5V8B5,Applications through Contact Centre
CAS-07260-F5T0C1,Court-Ordered- Magistrate's Complaint
CAS-07261-G2B4Q5,Applications through Contact Centre
CAS-07262-G7M6Q5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07263-X0V4W0,External Agency Referrals - Member of Parliament
CAS-07264-B0L0K0,Walk Ins
CAS-07265-H0N3T0,External Agency Referrals - Member of Parliament
CAS-07266-C7J8B1,Applications through Contact Centre
CAS-07267-B0Q5W8,Court-Ordered- Magistrate's Complaint
CAS-07268-N6W5Y3,Applications through Contact Centre
CAS-07269-T1L7F4,Applications through Contact Centre
CAS-07270-Y2N9D8,Applications through Contact Centre
CAS-07271-Y7W1L9,Court-Ordered- Magistrate's Complaint
CAS-07272-X0S4D3,Court-Ordered- Magistrate's Complaint
CAS-07273-T6P0Q1,Applications through Contact Centre
CAS-07274-M2C0R5,Applications through Contact Centre
CAS-07275-S9G3V9,External Agency Referrals - Others
CAS-07276-H3D8D5,External Agency Referrals - Member of Parliament
CAS-07277-P5F8X4,Applications through Contact Centre
CAS-07278-W7Q0Y6,Applications through Contact Centre
CAS-07279-J6G4D3,External Agency Referrals - Member of Parliament
CAS-07280-P0F4C5,Applications through Contact Centre
CAS-07281-K2N3S1,External Agency Referrals - Member of Parliament
CAS-07282-N9N1K6,Applications through Contact Centre
CAS-07283-W4R2F2,Court-Ordered- Magistrate's Complaint
CAS-07284-K3N9F3,Court-Ordered- Magistrate's Complaint
CAS-07285-D3Q2V2,Applications through Contact Centre
CAS-07286-D1P2C8,External Agency Referrals - Member of Parliament
CAS-07287-W4R6T6,External Agency Referrals - Member of Parliament
CAS-07288-R4N2C2,Court-Ordered- Magistrate's Complaint
CAS-07289-V5R3Z9,Court-Ordered- Magistrate's Complaint
CAS-07290-T4F0N0,External Agency Referrals - Housing Development Board (HDB)
CAS-07291-Y4F4H2,Applications through Contact Centre
CAS-07292-Q2S8W8,External Agency Referrals - Town Council
CAS-07293-D4Y2T5,External Agency Referrals - Housing Development Board (HDB)
CAS-07294-P2R6Y6,External Agency Referrals - Member of Parliament
CAS-07295-X7W8W4,External Agency Referrals - Member of Parliament
CAS-07296-M9R7K4,Applications through Contact Centre
CAS-07297-T3J2P8,External Agency Referrals - Others
CAS-07298-X3F0V0,External Agency Referrals - Housing Development Board (HDB)
CAS-07299-L8H8V9,External Agency Referrals - Singapore Police Force (SPF)
CAS-07300-R8S6V3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07301-Z6G4M4,External Agency Referrals - Singapore Police Force (SPF)
CAS-07302-J7F6T1,External Agency Referrals - Singapore Police Force (SPF)
CAS-07303-L0F3K5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07304-X7P3V6,External Agency Referrals - Singapore Police Force (SPF)
CAS-07305-S4P3V0,External Agency Referrals - Singapore Police Force (SPF)
CAS-07306-R2W4R0,Applications through Contact Centre
CAS-07307-K2G0T9,External Agency Referrals - Singapore Police Force (SPF)
CAS-07308-K6S4Q6,External Agency Referrals - Singapore Police Force (SPF)
CAS-07309-P2Q9K1,External Agency Referrals - Singapore Police Force (SPF)
CAS-07310-P8G9W8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07311-S6W0W8,Court-Ordered- Magistrate's Complaint
CAS-07312-S3T5Z9,Applications through Contact Centre
CAS-07313-G9T4P9,Applications through Contact Centre
CAS-07314-H7C9V4,Court-Ordered- Magistrate's Complaint
CAS-07315-W1D4Q1,Applications through Contact Centre
CAS-07316-W2Z7Z8,External Agency Referrals - Housing Development Board (HDB)
CAS-07317-D0D1D3,External Agency Referrals - Member of Parliament
CAS-07318-F8X4J8,External Agency Referrals - Housing Development Board (HDB)
CAS-07319-Y0S9B4,Court-Ordered- Magistrate's Complaint
CAS-07320-Z4X7J0,External Agency Referrals - Singapore Police Force (SPF)
CAS-07321-W8Q5H5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07322-Z7Z8B3,Court-Ordered- Magistrate's Complaint
CAS-07323-W3H5Z0,External Agency Referrals - Singapore Police Force (SPF)
CAS-07324-D7Z1S7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07325-D5W2C8,Applications through Contact Centre
CAS-07326-N0S1K5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07327-D8K8K4,Court-Ordered- Magistrate's Complaint
CAS-07328-X7H1W6,External Agency Referrals - Singapore Police Force (SPF)
CAS-07329-N3Q3J7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07330-J3Z4X5,External Agency Referrals - Housing Development Board (HDB)
CAS-07331-L1P6J8,Court-Ordered- Magistrate's Complaint
CAS-07332-D1Z0T1,Applications through Contact Centre
CAS-07333-V7M4V2,Applications through Contact Centre
CAS-07334-K7N6C4,External Agency Referrals - Housing Development Board (HDB)
CAS-07335-N3L3B3,Court-Ordered- Magistrate's Complaint
CAS-07336-Y1R3G3,Applications through Contact Centre
CAS-07337-V1W5T5,Applications through Contact Centre
CAS-07338-Y0Q4R4,Walk Ins
CAS-07339-R7G7V1,Walk Ins
CAS-07340-B2B4W7,Applications through Contact Centre
CAS-07341-X2L6Y8,Applications through Contact Centre
CAS-07342-Q2K0C2,Applications through Contact Centre
CAS-07343-Z4Q3X3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07344-Q0T9R1,Applications through Contact Centre
CAS-07345-R1W2Z0,Court-Ordered- Magistrate's Complaint
CAS-07346-Q3Y9Z3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07347-G4G6M0,Applications through Contact Centre
CAS-07348-P2R3R1,Walk Ins
CAS-07349-L1R8S2,Court-Ordered- Magistrate's Complaint
CAS-07350-T4J8B7,Court-Ordered- Magistrate's Complaint
CAS-07351-X4F4H7,Court-Ordered- Magistrate's Complaint
CAS-07352-D9M2T2,Court-Ordered- Magistrate's Complaint
CAS-07353-B1W4F5,Applications through Contact Centre
CAS-07354-Y0Y9S3,Applications through Contact Centre
CAS-07355-D0J0W3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07356-Q5D4P8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07357-T8K9B5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07358-X2Y9N7,External Agency Referrals - Housing Development Board (HDB)
CAS-07359-D3G7V4,External Agency Referrals - Housing Development Board (HDB)
CAS-07360-R2D5W5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07361-Q8N3L0,Walk Ins
CAS-07362-C9K2M3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07363-C2Q1X7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07364-V4X4R9,External Agency Referrals - Member of Parliament
CAS-07365-P7X6P3,Applications through Contact Centre
CAS-07366-N4G0P2,Applications through Contact Centre
CAS-07367-Z7G2M4,External Agency Referrals - Housing Development Board (HDB)
CAS-07368-V6M2Y8,External Agency Referrals - Member of Parliament
CAS-07369-L5M0Y5,External Agency Referrals - Member of Parliament
CAS-07370-L6R2Q7,External Agency Referrals - Member of Parliament
CAS-07371-W1J4T0,Applications through Contact Centre
CAS-07372-W6Q2P9,Applications through Contact Centre
CAS-07373-D8W8N3,Applications through Contact Centre
CAS-07374-X4Q2R7,Court-Ordered- Magistrate's Complaint
CAS-07375-Y9V2K0,External Agency Referrals - Member of Parliament
CAS-07376-G7B6M3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07377-T7R0V4,External Agency Referrals - Singapore Police Force (SPF)
CAS-07378-L1J1P4,Court-Ordered- Magistrate's Complaint
CAS-07379-R3B7K2,External Agency Referrals - Member of Parliament
CAS-07380-N6K0X1,External Agency Referrals - Member of Parliament
CAS-07381-K5F7F7,Applications through Contact Centre
CAS-07382-L0G4G7,External Agency Referrals - Housing Development Board (HDB)
CAS-07383-G4K1D3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07384-R1G2T5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07385-R1W5W0,External Agency Referrals - Singapore Police Force (SPF)
CAS-07386-V3V1F2,External Agency Referrals - Singapore Police Force (SPF)
CAS-07387-T6Z9V9,External Agency Referrals - Singapore Police Force (SPF)
CAS-07388-X1B0S6,Walk Ins
CAS-07389-H0D8R9,External Agency Referrals - Singapore Police Force (SPF)
CAS-07390-F8F5X4,External Agency Referrals - Member of Parliament
CAS-07391-N5J4P6,Applications through Contact Centre
CAS-07392-Y8Y6Z8,Court-Ordered- Magistrate's Complaint
CAS-07393-N5R8Y8,Court-Ordered- Magistrate's Complaint
CAS-07394-C6P0V9,External Agency Referrals - Town Council
CAS-07395-B9X4F0,Court-Ordered- Magistrate's Complaint
CAS-07396-L4S8L1,Walk Ins
CAS-07397-P9K8C6,Court-Ordered- Magistrate's Complaint
CAS-07398-H4B9F9,Applications through Contact Centre
CAS-07399-W0K6D8,Court-Ordered- Magistrate's Complaint
CAS-07400-M7V8M6,Applications through Contact Centre
CAS-07401-L6P1F8,Court-Ordered- Magistrate's Complaint
CAS-07402-J2S7G6,Court-Ordered- Magistrate's Complaint
CAS-07403-B8F5J3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07404-N0B1G5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07405-T8L6Y8,Walk Ins
CAS-07406-X9N8V9,External Agency Referrals - Member of Parliament
CAS-07407-P2Y3V2,Applications through Contact Centre
CAS-07408-X0L3H8,Applications through Contact Centre
CAS-07409-K4S0G6,Applications through Contact Centre
CAS-07410-S4F3L8,Applications through Contact Centre
CAS-07411-Q6B4F5,Court-Ordered- Magistrate's Complaint
CAS-07412-G3D2K6,Court-Ordered- Magistrate's Complaint
CAS-07413-J2M2F5,External Agency Referrals - Housing Development Board (HDB)
CAS-07414-N8K1S8,Direct Correspondence
CAS-07415-B2C3D4,Court-Ordered- Magistrate's Complaint
CAS-07416-C8T9J0,Court-Ordered- Magistrate's Complaint
CAS-07417-Z6S5B8,Applications through Contact Centre
CAS-07418-P9B2W2,Court-Ordered- Magistrate's Complaint
CAS-07419-L5H4P1,Walk Ins
CAS-07420-X4P9C9,Court-Ordered- Magistrate's Complaint
CAS-07421-C5P0N3,External Agency Referrals - Housing Development Board (HDB)
CAS-07422-F7T6J1,External Agency Referrals - Member of Parliament
CAS-07423-T3Q2G4,Applications through Contact Centre
CAS-07424-S7D6D1,Applications through Contact Centre
CAS-07425-Y1W3B8,Applications through Contact Centre
CAS-07426-F4M8K0,External Agency Referrals - Housing Development Board (HDB)
CAS-07427-K3L3Z2,Direct Correspondence
CAS-07428-Q7L7C0,Applications through Contact Centre
CAS-07429-Z7Z3J4,Applications through Contact Centre
CAS-07430-H2D9W9,Walk Ins
CAS-07431-H1F2K2,External Agency Referrals - Member of Parliament
CAS-07432-D8H9W0,External Agency Referrals - Singapore Police Force (SPF)
CAS-07433-P0J1T7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07434-X9Q9W6,Applications through Contact Centre
CAS-07435-D2B6F3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07436-Z3H0P8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07437-X9V7G6,Applications through Contact Centre
CAS-07438-D8V4F3,Applications through Contact Centre
CAS-07439-Z9Z8X6,External Agency Referrals - Member of Parliament
CAS-07440-R1C6G2,Walk Ins
CAS-07441-S0W1X3,Court-Ordered- Magistrate's Complaint
CAS-07442-N5C6K3,External Agency Referrals - Member of Parliament
CAS-07443-R8K8R8,Court-Ordered- Magistrate's Complaint
CAS-07444-L4V5C6,Applications through Contact Centre
CAS-07445-J5Y1D7,Applications through Contact Centre
CAS-07446-W1Z0D8,External Agency Referrals - Housing Development Board (HDB)
CAS-07447-G1S4X4,Walk Ins
CAS-07448-X9G9M0,External Agency Referrals - Member of Parliament
CAS-07449-N6T5W9,External Agency Referrals - Housing Development Board (HDB)
CAS-07450-W8Y6D2,External Agency Referrals - Singapore Police Force (SPF)
CAS-07451-P5Y8S2,External Agency Referrals - Singapore Police Force (SPF)
CAS-07452-R2P7C4,Court-Ordered- Magistrate's Complaint
CAS-07454-C5T8Q0,External Agency Referrals - Member of Parliament
CAS-07455-Z7T9L3,External Agency Referrals - Housing Development Board (HDB)
CAS-07456-F7J2S7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07457-X4D2D8,Court-Ordered- Magistrate's Complaint
CAS-07458-Y9D5H5,Applications through Contact Centre
CAS-07459-X6Q1F9,External Agency Referrals - Others
CAS-07460-H4K7K2,External Agency Referrals - Member of Parliament
CAS-07461-T6G4N9,External Agency Referrals - Singapore Police Force (SPF)
CAS-07462-F6M0H5,Applications through Contact Centre
CAS-07463-J7Q8B6,External Agency Referrals - Housing Development Board (HDB)
CAS-07464-P5N4Q0,External Agency Referrals - Housing Development Board (HDB)
CAS-07465-Q3L0Z9,External Agency Referrals - Town Council
CAS-07466-K8H0G9,External Agency Referrals - Housing Development Board (HDB)
CAS-07467-Z6Q5H3,External Agency Referrals - Member of Parliament
CAS-07468-N5H3P5,External Agency Referrals - Housing Development Board (HDB)
CAS-07470-Q0D5X1,Applications through Contact Centre
CAS-07471-F7M5N0,Court-Ordered- Magistrate's Complaint
CAS-07472-N1B2T6,Court-Ordered- Magistrate's Complaint
CAS-07473-H0N0B6,Applications through Contact Centre
CAS-07474-P7D0B8,Applications through Contact Centre
CAS-07475-J8B1G0,Walk Ins
CAS-07476-F3V3V5,Applications through Contact Centre
CAS-07477-D2B3N7,Applications through Contact Centre
CAS-07478-R8Q1B9,Applications through Contact Centre
CAS-07479-N8D5V4,External Agency Referrals - Others
CAS-07480-N3T1R4,External Agency Referrals - Housing Development Board (HDB)
CAS-07481-L1X7R8,Court-Ordered- Magistrate's Complaint
CAS-07482-G0X0S2,Court-Ordered- Magistrate's Complaint
CAS-07483-J8B0H2,Applications through Contact Centre
CAS-07484-G6N4X8,Court-Ordered- Magistrate's Complaint
CAS-07485-H7N3W1,Court-Ordered- Magistrate's Complaint
CAS-07486-T4Z6D3,Court-Ordered- Magistrate's Complaint
CAS-07487-V7C2S9,Court-Ordered- Magistrate's Complaint
CAS-07488-P9W4X6,External Agency Referrals
CAS-07489-D5N2G4,Court-Ordered- Magistrate's Complaint
CAS-07490-X2J3L7,External Agency Referrals - Housing Development Board (HDB)
CAS-07491-N0V9W1,External Agency Referrals - Town Council
CAS-07492-T9X0L9,External Agency Referrals - Housing Development Board (HDB)
CAS-07493-Y9K5W6,Walk Ins
CAS-07494-G6Y1H4,Court-Ordered- Magistrate's Complaint
CAS-07495-T2T0Q4,External Agency Referrals - Housing Development Board (HDB)
CAS-07496-X9B8L3,Court-Ordered- Magistrate's Complaint
CAS-07497-P0B6C5,Court-Ordered- Magistrate's Complaint
CAS-07498-Z7F3L9,Applications through Contact Centre
CAS-07499-G0G5F6,External Agency Referrals - Housing Development Board (HDB)
CAS-07500-Z7S8D6,Applications through Contact Centre
CAS-07501-Q8H3H1,Applications through Contact Centre
CAS-07502-B0Y0K8,Walk Ins
CAS-07503-Y7N3R4,Applications through Contact Centre
CAS-07504-L7Y3Q7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07505-X1F8W3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07506-K2Z6G5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07507-S1T5J4,External Agency Referrals - Singapore Police Force (SPF)
CAS-07508-S6Y4W5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07509-S4P0V8,Applications through Contact Centre
CAS-07510-L0W3M7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07511-D9K5F2,External Agency Referrals - Housing Development Board (HDB)
CAS-07512-G8X0J3,External Agency Referrals - Town Council
CAS-07513-Q3Q1C6,Applications through Contact Centre
CAS-07514-N0K0V8,Applications through Contact Centre
CAS-07515-X2W1M6,External Agency Referrals - Singapore Police Force (SPF)
CAS-07516-B4P9G8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07517-C2V0C0,External Agency Referrals - Singapore Police Force (SPF)
CAS-07518-J4C6B5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07519-G8R2R1,External Agency Referrals - Singapore Police Force (SPF)
CAS-07520-R4J8W6,External Agency Referrals  -Others
CAS-07521-F0N1V8,External Agency Referrals - Member of Parliament
CAS-07522-X2D2S3,Court-Ordered- Magistrate's Complaint
CAS-07523-N8H7H0,Applications through Contact Centre
CAS-07524-V9M0F5,Applications through Contact Centre
CAS-07525-R7P6D4,External Agency Referrals - Singapore Police Force (SPF)
CAS-07526-L1N6R0,Court-Ordered- Magistrate's Complaint
CAS-07527-R3J8S0,Court-Ordered- Magistrate's Complaint
CAS-07528-R5Y6S5,External Agency Referrals - Housing Development Board (HDB)
CAS-07529-F3B6N4,Applications through Contact Centre
CAS-07530-M1Q7F5,External Agency Referrals - Member of Parliament
CAS-07531-T2P0B1,Walk Ins
CAS-07532-P4C8Q5,External Agency Referrals - Housing Development Board (HDB)
CAS-07533-H3Z1Z6,Applications through Contact Centre
CAS-07534-J9K8K1,Applications through Contact Centre
CAS-07535-F7J1P0,Walk Ins
CAS-07536-H3D1C4,Court-Ordered- Magistrate's Complaint
CAS-07537-H8X8P7,Court-Ordered- Magistrate's Complaint
CAS-07538-M5C0P1,External Agency Referrals - Singapore Police Force (SPF)
CAS-07539-K0P8Z5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07540-F9S0Z4,External Agency Referrals - Singapore Police Force (SPF)
CAS-07541-V6B4L9,Applications through Contact Centre
CAS-07542-J0X7G8,Applications through Contact Centre
CAS-07543-P6Z1V6,Applications through Contact Centre
CAS-07544-F1Y8Y8,External Agency Referrals - Others
CAS-07545-J6M7C4,Applications through Contact Centre
CAS-07546-D7Q4L4,Court-Ordered- Magistrate's Complaint
CAS-07547-P5T1S4,Court-Ordered- Magistrate's Complaint
CAS-07548-W0R8Q3,Court-Ordered- Magistrate's Complaint
CAS-07549-Y3K9F3,Court-Ordered- Magistrate's Complaint
CAS-07550-P5D3S6,External Agency Referrals - Housing Development Board (HDB)
CAS-07551-T3G8Q8,Court-Ordered- Magistrate's Complaint
CAS-07552-Z7D6M8,Court-Ordered- Magistrate's Complaint
CAS-07553-W4X5T3,Court-Ordered- Magistrate's Complaint
CAS-07554-S1X1M2,Applications through Contact Centre
CAS-07555-S9G5R7,External Agency Referrals - Housing Development Board (HDB)
CAS-07556-G5D4Z7,External Agency Referrals - Housing Development Board (HDB)
CAS-07557-S3Q1J6,Applications through Contact Centre
CAS-07558-J7P4D5,Court-Ordered- Magistrate's Complaint
CAS-07559-T9T5S5,Applications through Contact Centre
CAS-07560-Y8S0R9,Court-Ordered- Magistrate's Complaint
CAS-07561-W1K9G1,Applications through Contact Centre
CAS-07562-C0B4L2,External Agency Referrals - Others
CAS-07563-S7B7L0,Applications through Contact Centre
CAS-07564-F3V6Q0,Applications through Contact Centre
CAS-07565-B2K8W1,Court-Ordered- Magistrate's Complaint
CAS-07566-C7C6P1,External Agency Referrals - Member of Parliament
CAS-07567-X0F2X7,Court-Ordered- Magistrate's Complaint
CAS-07568-M3H5M9,Applications through Contact Centre
CAS-07569-C6N9S2,External Agency Referrals - Housing Development Board (HDB)
CAS-07570-B8G8N5,Court-Ordered- Magistrate's Complaint
CAS-07571-M4C2N9,External Agency Referrals - Housing Development Board (HDB)
CAS-07572-P6H8N3,Walk Ins
CAS-07573-F6Y8S0,External Agency Referrals - Member of Parliament
CAS-07574-V9H7W0,Applications through Contact Centre
CAS-07575-C4P1W0,Applications through Contact Centre
CAS-07576-Z5K3P6,Applications through Contact Centre
CAS-07577-G9S4Q2,Applications through Contact Centre
CAS-07578-H5C4X0,External Agency Referrals - Housing Development Board (HDB)
CAS-07579-Q4J2R4,Applications through Contact Centre
CAS-07580-G6J7Q2,Applications through Contact Centre
CAS-07581-S9Z3Z6,Court-Ordered- Magistrate's Complaint
CAS-07582-Y5H8X3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07583-Z7L5Y5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07584-S9Z3F8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07585-V5W7P8,External Agency Referrals - Singapore Police Force (SPF)
CAS-07586-Z5S9L7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07587-W5K0W5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07588-B1K0B7,External Agency Referrals - Singapore Police Force (SPF)
CAS-07589-X2P9C3,External Agency Referrals - Singapore Police Force (SPF)
CAS-07590-S7G2P4,External Agency Referrals - Housing Development Board (HDB)
CAS-07591-H0Q9F0,External Agency Referrals - Housing Development Board (HDB)
CAS-07592-V0Z7Y5,External Agency Referrals - Singapore Police Force (SPF)
CAS-07593-D5J8F8,Applications through Contact Centre
CAS-07594-V1D8M5,Applications through Contact Centre
CAS-07595-V7Y0P2,Applications through Contact Centre
CAS-07596-J2T9W7,Court-Ordered- Magistrate's Complaint
CAS-07597-V5V5H6,Court-Ordered- Magistrate's Complaint
CAS-07598-R6Z1J7,External Agency Referrals - Member of Parliament
CAS-07599-K7S6X2,Court-Ordered- Magistrate's Complaint
CAS-07600-T7K9N1,Court-Ordered- Magistrate's Complaint
CAS-07601-J2L2Z7,Court-Ordered- Magistrate's Complaint
CAS-07602-D3T7V2,External Agency Referrals
CAS-07603-B5C7Z1,Applications through Contact Centre
CAS-07604-T8W2Y6,Applications through Contact Centre
CAS-07605-N4T9X0,Applications through Contact Centre
